node	node_type	sample_id	mutation_events
ERR1417310.result.fastq	leaf	ERR1417310	3
ERR1417313.result.fastq	leaf	ERR1417313	22
ERR1417316.result.fastq	leaf	ERR1417316	4
ERR1417336.result.fastq	leaf	ERR1417336	312
ERR1417338.result.fastq	leaf	ERR1417338	12
ERR1417341.result.fastq	leaf	ERR1417341	569
ERR1688977.result.fastq	leaf	ERR1688977	1
ERR1688979.result.fastq	leaf	ERR1688979	2
ERR1805267.result.fastq	leaf	ERR1805267	1
ERR1805269.result.fastq	leaf	ERR1805269	2
ERR1805270.result.fastq	leaf	ERR1805270	1
ERR1805271.result.fastq	leaf	ERR1805271	1
ERR190415.result.fastq	leaf	ERR190415	5
ERR190417.result.fastq	leaf	ERR190417	1
ERR190425.result.fastq	leaf	ERR190425	5
ERR190430.result.fastq	leaf	ERR190430	1
ERR190432.result.fastq	leaf	ERR190432	1
ERR190433.result.fastq	leaf	ERR190433	1
ERR190434.result.fastq	leaf	ERR190434	1
ERR190435.result.fastq	leaf	ERR190435	1
ERR190436.result.fastq	leaf	ERR190436	1
ERR190438.result.fastq	leaf	ERR190438	5
ERR190440.result.fastq	leaf	ERR190440	3
ERR190444.result.fastq	leaf	ERR190444	1
ERR190452.result.fastq	leaf	ERR190452	2
ERR190457.result.fastq	leaf	ERR190457	1
ERR190461.result.fastq	leaf	ERR190461	1
ERR190462.result.fastq	leaf	ERR190462	1
ERR190469.result.fastq	leaf	ERR190469	1
ERR190472.result.fastq	leaf	ERR190472	1
ERR190473.result.fastq	leaf	ERR190473	4
ERR190475.result.fastq	leaf	ERR190475	3
ERR190478.result.fastq	leaf	ERR190478	1
ERR190480.result.fastq	leaf	ERR190480	2
ERR190486.result.fastq	leaf	ERR190486	3
ERR190489.result.fastq	leaf	ERR190489	1
ERR190490.result.fastq	leaf	ERR190490	1
ERR190491.result.fastq	leaf	ERR190491	1
ERR190493.result.fastq	leaf	ERR190493	6
ERR190494.result.fastq	leaf	ERR190494	4
ERR190498.result.fastq	leaf	ERR190498	2
ERR190499.result.fastq	leaf	ERR190499	2
ERR190500.result.fastq	leaf	ERR190500	1
ERR1946941.result.fastq	leaf	ERR1946941	1
ERR1946942.result.fastq	leaf	ERR1946942	1
ERR1946943.result.fastq	leaf	ERR1946943	5
ERR1946949.result.fastq	leaf	ERR1946949	1
ERR1946950.result.fastq	leaf	ERR1946950	2
ERR1946951.result.fastq	leaf	ERR1946951	1
ERR1946958.result.fastq	leaf	ERR1946958	1
ERR1946959.result.fastq	leaf	ERR1946959	1
ERR1946962.result.fastq	leaf	ERR1946962	4
ERR1946965.result.fastq	leaf	ERR1946965	4
ERR1946967.result.fastq	leaf	ERR1946967	2
ERR1946969.result.fastq	leaf	ERR1946969	2
ERR1946970.result.fastq	leaf	ERR1946970	26
ERR1946971.result.fastq	leaf	ERR1946971	26
ERR1946972.result.fastq	leaf	ERR1946972	11
ERR1946975.result.fastq	leaf	ERR1946975	45
ERR1946977.result.fastq	leaf	ERR1946977	1
ERR1946978.result.fastq	leaf	ERR1946978	2
ERR1946979.result.fastq	leaf	ERR1946979	2
ERR1946980.result.fastq	leaf	ERR1946980	4
ERR1946981.result.fastq	leaf	ERR1946981	1
ERR1946982.result.fastq	leaf	ERR1946982	9
ERR1946983.result.fastq	leaf	ERR1946983	4
ERR1946985.result.fastq	leaf	ERR1946985	1
ERR1946986.result.fastq	leaf	ERR1946986	2
ERR1946988.result.fastq	leaf	ERR1946988	3
ERR1946989.result.fastq	leaf	ERR1946989	1
ERR1946991.result.fastq	leaf	ERR1946991	4
ERR1946992.result.fastq	leaf	ERR1946992	1
ERR1946993.result.fastq	leaf	ERR1946993	2
ERR1946994.result.fastq	leaf	ERR1946994	1
ERR1946995.result.fastq	leaf	ERR1946995	1
ERR1947000.result.fastq	leaf	ERR1947000	2
ERR1947003.result.fastq	leaf	ERR1947003	1
ERR1947004.result.fastq	leaf	ERR1947004	5
ERR1947005.result.fastq	leaf	ERR1947005	8
ERR1947006.result.fastq	leaf	ERR1947006	11
ERR1947009.result.fastq	leaf	ERR1947009	1
ERR1947010.result.fastq	leaf	ERR1947010	12
ERR1947011.result.fastq	leaf	ERR1947011	6
ERR1947014.result.fastq	leaf	ERR1947014	3
ERR1947015.result.fastq	leaf	ERR1947015	1
ERR1947016.result.fastq	leaf	ERR1947016	1
ERR1947017.result.fastq	leaf	ERR1947017	1
ERR1947024.result.fastq	leaf	ERR1947024	2
ERR1947027.result.fastq	leaf	ERR1947027	5
ERR1947029.result.fastq	leaf	ERR1947029	3
ERR1947030.result.fastq	leaf	ERR1947030	1
ERR1947032.result.fastq	leaf	ERR1947032	1
ERR1947034.result.fastq	leaf	ERR1947034	1
ERR1947035.result.fastq	leaf	ERR1947035	3
ERR1947036.result.fastq	leaf	ERR1947036	1
ERR1947037.result.fastq	leaf	ERR1947037	3
ERR1947038.result.fastq	leaf	ERR1947038	1
ERR1947046.result.fastq	leaf	ERR1947046	161
ERR1947047.result.fastq	leaf	ERR1947047	3
ERR1947048.result.fastq	leaf	ERR1947048	1
ERR1947049.result.fastq	leaf	ERR1947049	1
ERR1947052.result.fastq	leaf	ERR1947052	1
ERR1947054.result.fastq	leaf	ERR1947054	4
ERR1947055.result.fastq	leaf	ERR1947055	3
ERR1947056.result.fastq	leaf	ERR1947056	4
ERR197568.result.fastq	leaf	ERR197568	2
ERR197570.result.fastq	leaf	ERR197570	5
ERR197572.result.fastq	leaf	ERR197572	5
ERR197594.result.fastq	leaf	ERR197594	2
ERR197613.result.fastq	leaf	ERR197613	1
ERR197614.result.fastq	leaf	ERR197614	1
ERR197620.result.fastq	leaf	ERR197620	3
ERR197621.result.fastq	leaf	ERR197621	1
ERR197622.result.fastq	leaf	ERR197622	3
ERR197624.result.fastq	leaf	ERR197624	1
ERR197627.result.fastq	leaf	ERR197627	1
ERR197628.result.fastq	leaf	ERR197628	1
ERR197631.result.fastq	leaf	ERR197631	1
ERR197643.result.fastq	leaf	ERR197643	3
ERR2433131.result.fastq	leaf	ERR2433131	30
ERR2433133.result.fastq	leaf	ERR2433133	12
ERR2433135.result.fastq	leaf	ERR2433135	5
ERR2433136.result.fastq	leaf	ERR2433136	3
ERR2433139.result.fastq	leaf	ERR2433139	7
ERR2433140.result.fastq	leaf	ERR2433140	1
ERR2433156.result.fastq	leaf	ERR2433156	17
ERR2451534.result.fastq	leaf	ERR2451534	1
ERR2451539.result.fastq	leaf	ERR2451539	1
ERR2451923.result.fastq	leaf	ERR2451923	3
ERR2451925.result.fastq	leaf	ERR2451925	2
ERR2451957.result.fastq	leaf	ERR2451957	1
ERR2451958.result.fastq	leaf	ERR2451958	1
ERR2451959.result.fastq	leaf	ERR2451959	1
ERR2452005.result.fastq	leaf	ERR2452005	1
ERR2452099.result.fastq	leaf	ERR2452099	2
ERR2452101.result.fastq	leaf	ERR2452101	1
ERR2455362.result.fastq	leaf	ERR2455362	1
ERR2455368.result.fastq	leaf	ERR2455368	1
ERR2455370.result.fastq	leaf	ERR2455370	1
ERR2455380.result.fastq	leaf	ERR2455380	2
ERR2455382.result.fastq	leaf	ERR2455382	5
ERR2455388.result.fastq	leaf	ERR2455388	2
ERR2455390.result.fastq	leaf	ERR2455390	2
ERR2455391.result.fastq	leaf	ERR2455391	5
ERR2455392.result.fastq	leaf	ERR2455392	5
ERR2455394.result.fastq	leaf	ERR2455394	1
ERR2455414.result.fastq	leaf	ERR2455414	1
ERR2455415.result.fastq	leaf	ERR2455415	1
ERR2455422.result.fastq	leaf	ERR2455422	1
ERR2455424.result.fastq	leaf	ERR2455424	1
ERR2455425.result.fastq	leaf	ERR2455425	1
ERR2455430.result.fastq	leaf	ERR2455430	1
ERR2455431.result.fastq	leaf	ERR2455431	761
ERR2455432.result.fastq	leaf	ERR2455432	2
ERR2455433.result.fastq	leaf	ERR2455433	2
ERR2455434.result.fastq	leaf	ERR2455434	5
ERR2455466.result.fastq	leaf	ERR2455466	682
ERR2455468.result.fastq	leaf	ERR2455468	2
ERR2455470.result.fastq	leaf	ERR2455470	2
ERR246680.result.fastq	leaf	ERR246680	1
ERR246681.result.fastq	leaf	ERR246681	1
ERR246682.result.fastq	leaf	ERR246682	97
ERR246684.result.fastq	leaf	ERR246684	10
ERR246686.result.fastq	leaf	ERR246686	1
ERR246687.result.fastq	leaf	ERR246687	813
ERR246688.result.fastq	leaf	ERR246688	1
ERR246690.result.fastq	leaf	ERR246690	1
ERR246691.result.fastq	leaf	ERR246691	1
ERR246692.result.fastq	leaf	ERR246692	234
ERR246693.result.fastq	leaf	ERR246693	1
ERR246694.result.fastq	leaf	ERR246694	2
ERR246697.result.fastq	leaf	ERR246697	1
ERR246699.result.fastq	leaf	ERR246699	12
ERR246702.result.fastq	leaf	ERR246702	6
ERR246703.result.fastq	leaf	ERR246703	11
ERR246706.result.fastq	leaf	ERR246706	1
ERR246708.result.fastq	leaf	ERR246708	20
ERR246709.result.fastq	leaf	ERR246709	13
ERR246710.result.fastq	leaf	ERR246710	11
ERR246711.result.fastq	leaf	ERR246711	2
ERR246712.result.fastq	leaf	ERR246712	10
ERR246713.result.fastq	leaf	ERR246713	1
ERR246714.result.fastq	leaf	ERR246714	1
ERR246715.result.fastq	leaf	ERR246715	5
ERR246716.result.fastq	leaf	ERR246716	10
ERR246718.result.fastq	leaf	ERR246718	11
ERR246721.result.fastq	leaf	ERR246721	10
ERR246722.result.fastq	leaf	ERR246722	13
ERR246723.result.fastq	leaf	ERR246723	1
ERR246724.result.fastq	leaf	ERR246724	2
ERR246726.result.fastq	leaf	ERR246726	1
ERR246727.result.fastq	leaf	ERR246727	2
ERR246728.result.fastq	leaf	ERR246728	5
ERR246730.result.fastq	leaf	ERR246730	1
ERR246737.result.fastq	leaf	ERR246737	2
ERR246738.result.fastq	leaf	ERR246738	230
ERR246739.result.fastq	leaf	ERR246739	3
ERR246744.result.fastq	leaf	ERR246744	1
ERR246746.result.fastq	leaf	ERR246746	13
ERR246747.result.fastq	leaf	ERR246747	1
ERR246748.result.fastq	leaf	ERR246748	1
ERR246750.result.fastq	leaf	ERR246750	1
ERR246752.result.fastq	leaf	ERR246752	10
ERR246755.result.fastq	leaf	ERR246755	1
ERR246756.result.fastq	leaf	ERR246756	20
ERR246758.result.fastq	leaf	ERR246758	11
ERR246759.result.fastq	leaf	ERR246759	11
ERR246760.result.fastq	leaf	ERR246760	8
ERR246761.result.fastq	leaf	ERR246761	1
ERR246762.result.fastq	leaf	ERR246762	12
ERR246763.result.fastq	leaf	ERR246763	5
ERR246765.result.fastq	leaf	ERR246765	11
ERR246766.result.fastq	leaf	ERR246766	4
ERR246767.result.fastq	leaf	ERR246767	13
ERR246769.result.fastq	leaf	ERR246769	6
ERR246772.result.fastq	leaf	ERR246772	1
ERR246774.result.fastq	leaf	ERR246774	3
ERR246775.result.fastq	leaf	ERR246775	2
ERR246777.result.fastq	leaf	ERR246777	6
ERR246779.result.fastq	leaf	ERR246779	5
ERR246780.result.fastq	leaf	ERR246780	6
ERR246781.result.fastq	leaf	ERR246781	4
ERR246784.result.fastq	leaf	ERR246784	5
ERR246785.result.fastq	leaf	ERR246785	2
ERR246786.result.fastq	leaf	ERR246786	8
ERR246787.result.fastq	leaf	ERR246787	3
ERR246788.result.fastq	leaf	ERR246788	1
ERR246789.result.fastq	leaf	ERR246789	1
ERR246790.result.fastq	leaf	ERR246790	3
ERR246791.result.fastq	leaf	ERR246791	3
ERR246792.result.fastq	leaf	ERR246792	1
ERR246793.result.fastq	leaf	ERR246793	4
ERR246794.result.fastq	leaf	ERR246794	1
ERR246795.result.fastq	leaf	ERR246795	4
ERR246796.result.fastq	leaf	ERR246796	27
ERR246797.result.fastq	leaf	ERR246797	11
ERR246798.result.fastq	leaf	ERR246798	4
ERR246799.result.fastq	leaf	ERR246799	7
ERR246800.result.fastq	leaf	ERR246800	6
ERR246801.result.fastq	leaf	ERR246801	5
ERR246802.result.fastq	leaf	ERR246802	1
ERR246804.result.fastq	leaf	ERR246804	4
ERR246805.result.fastq	leaf	ERR246805	17
ERR246808.result.fastq	leaf	ERR246808	2
ERR246811.result.fastq	leaf	ERR246811	3
ERR246812.result.fastq	leaf	ERR246812	24
ERR246814.result.fastq	leaf	ERR246814	2
ERR246816.result.fastq	leaf	ERR246816	5
ERR246818.result.fastq	leaf	ERR246818	1
ERR246820.result.fastq	leaf	ERR246820	9
ERR246821.result.fastq	leaf	ERR246821	7
ERR246822.result.fastq	leaf	ERR246822	1
ERR246824.result.fastq	leaf	ERR246824	16
ERR246827.result.fastq	leaf	ERR246827	14
ERR246828.result.fastq	leaf	ERR246828	1
ERR246829.result.fastq	leaf	ERR246829	2
ERR246830.result.fastq	leaf	ERR246830	1
ERR246831.result.fastq	leaf	ERR246831	4
ERR246832.result.fastq	leaf	ERR246832	3
ERR246835.result.fastq	leaf	ERR246835	6
ERR246836.result.fastq	leaf	ERR246836	2
ERR246837.result.fastq	leaf	ERR246837	13
ERR246839.result.fastq	leaf	ERR246839	4
ERR246840.result.fastq	leaf	ERR246840	1
ERR246842.result.fastq	leaf	ERR246842	1
ERR246843.result.fastq	leaf	ERR246843	15
ERR246844.result.fastq	leaf	ERR246844	6
ERR246848.result.fastq	leaf	ERR246848	1
ERR246849.result.fastq	leaf	ERR246849	2
ERR246850.result.fastq	leaf	ERR246850	2
ERR246851.result.fastq	leaf	ERR246851	2
ERR246852.result.fastq	leaf	ERR246852	2
ERR246854.result.fastq	leaf	ERR246854	22
ERR246855.result.fastq	leaf	ERR246855	2
ERR246856.result.fastq	leaf	ERR246856	3
ERR246858.result.fastq	leaf	ERR246858	2
ERR246859.result.fastq	leaf	ERR246859	4
ERR246862.result.fastq	leaf	ERR246862	2
ERR246864.result.fastq	leaf	ERR246864	4
ERR246865.result.fastq	leaf	ERR246865	2
ERR246866.result.fastq	leaf	ERR246866	315
ERR246867.result.fastq	leaf	ERR246867	1
ERR246870.result.fastq	leaf	ERR246870	13
ERR246871.result.fastq	leaf	ERR246871	2
ERR246874.result.fastq	leaf	ERR246874	1
ERR246875.result.fastq	leaf	ERR246875	6
ERR246876.result.fastq	leaf	ERR246876	3892
ERR246878.result.fastq	leaf	ERR246878	8
ERR246879.result.fastq	leaf	ERR246879	2
ERR246881.result.fastq	leaf	ERR246881	3
ERR246882.result.fastq	leaf	ERR246882	1
ERR246884.result.fastq	leaf	ERR246884	1
ERR246887.result.fastq	leaf	ERR246887	3
ERR246889.result.fastq	leaf	ERR246889	1
ERR246892.result.fastq	leaf	ERR246892	1
ERR246893.result.fastq	leaf	ERR246893	3
ERR246895.result.fastq	leaf	ERR246895	1
ERR246896.result.fastq	leaf	ERR246896	1
ERR246897.result.fastq	leaf	ERR246897	1
ERR246898.result.fastq	leaf	ERR246898	29
ERR246899.result.fastq	leaf	ERR246899	2
ERR246900.result.fastq	leaf	ERR246900	2
ERR246901.result.fastq	leaf	ERR246901	4
ERR246902.result.fastq	leaf	ERR246902	1
ERR246903.result.fastq	leaf	ERR246903	3
ERR246905.result.fastq	leaf	ERR246905	1
ERR246906.result.fastq	leaf	ERR246906	14
ERR246907.result.fastq	leaf	ERR246907	556
ERR246909.result.fastq	leaf	ERR246909	6
ERR246914.result.fastq	leaf	ERR246914	1
ERR246916.result.fastq	leaf	ERR246916	3
ERR246917.result.fastq	leaf	ERR246917	8
ERR246922.result.fastq	leaf	ERR246922	4
ERR246928.result.fastq	leaf	ERR246928	1369
ERR246929.result.fastq	leaf	ERR246929	1
ERR246930.result.fastq	leaf	ERR246930	556
ERR246932.result.fastq	leaf	ERR246932	1
ERR246935.result.fastq	leaf	ERR246935	17
ERR246936.result.fastq	leaf	ERR246936	7
ERR246938.result.fastq	leaf	ERR246938	2
ERR246939.result.fastq	leaf	ERR246939	3
ERR246940.result.fastq	leaf	ERR246940	2695
ERR246943.result.fastq	leaf	ERR246943	49
ERR246945.result.fastq	leaf	ERR246945	1629
ERR246946.result.fastq	leaf	ERR246946	1
ERR246947.result.fastq	leaf	ERR246947	1
ERR246948.result.fastq	leaf	ERR246948	7
ERR246949.result.fastq	leaf	ERR246949	563
ERR246950.result.fastq	leaf	ERR246950	1
ERR246951.result.fastq	leaf	ERR246951	5547
ERR246952.result.fastq	leaf	ERR246952	8
ERR246953.result.fastq	leaf	ERR246953	3
ERR246954.result.fastq	leaf	ERR246954	2
ERR246955.result.fastq	leaf	ERR246955	1
ERR246956.result.fastq	leaf	ERR246956	1
ERR246961.result.fastq	leaf	ERR246961	692
ERR246965.result.fastq	leaf	ERR246965	7
ERR246966.result.fastq	leaf	ERR246966	3
ERR246967.result.fastq	leaf	ERR246967	2
ERR249259.result.fastq	leaf	ERR249259	1
ERR249267.result.fastq	leaf	ERR249267	1
ERR2497355.result.fastq	leaf	ERR2497355	3
ERR2497357.result.fastq	leaf	ERR2497357	2
ERR2497358.result.fastq	leaf	ERR2497358	14
ERR2518345.result.fastq	leaf	ERR2518345	1
ERR2518347.result.fastq	leaf	ERR2518347	1
ERR2518358.result.fastq	leaf	ERR2518358	10
ERR2518359.result.fastq	leaf	ERR2518359	312
ERR2518363.result.fastq	leaf	ERR2518363	1
ERR2518364.result.fastq	leaf	ERR2518364	7
ERR2518391.result.fastq	leaf	ERR2518391	1
ERR263704.result.fastq	leaf	ERR263704	2
ERR263709.result.fastq	leaf	ERR263709	3
ERR263728.result.fastq	leaf	ERR263728	4
ERR2711312.result.fastq	leaf	ERR2711312	112
ERR2711313.result.fastq	leaf	ERR2711313	112
ERR2711314.result.fastq	leaf	ERR2711314	2
ERR2711660.result.fastq	leaf	ERR2711660	13
ERR2711661.result.fastq	leaf	ERR2711661	18
ERR2711662.result.fastq	leaf	ERR2711662	1
ERR2711663.result.fastq	leaf	ERR2711663	5
ERR2711664.result.fastq	leaf	ERR2711664	19
ERR2711665.result.fastq	leaf	ERR2711665	472
ERR2711666.result.fastq	leaf	ERR2711666	4
ERR2711670.result.fastq	leaf	ERR2711670	2
ERR2711673.result.fastq	leaf	ERR2711673	9
ERR2711674.result.fastq	leaf	ERR2711674	8
ERR2711676.result.fastq	leaf	ERR2711676	15
ERR2711679.result.fastq	leaf	ERR2711679	5
ERR2711680.result.fastq	leaf	ERR2711680	86
ERR2711681.result.fastq	leaf	ERR2711681	6
ERR2711684.result.fastq	leaf	ERR2711684	5
ERR2711685.result.fastq	leaf	ERR2711685	1
ERR2711691.result.fastq	leaf	ERR2711691	15
ERR2711692.result.fastq	leaf	ERR2711692	1
ERR2711813.result.fastq	leaf	ERR2711813	3
ERR2711815.result.fastq	leaf	ERR2711815	8
ERR2711936.result.fastq	leaf	ERR2711936	3061
ERR2712057.result.fastq	leaf	ERR2712057	21
ERR2712058.result.fastq	leaf	ERR2712058	9
ERR2712059.result.fastq	leaf	ERR2712059	2
ERR2712061.result.fastq	leaf	ERR2712061	13
ERR2712062.result.fastq	leaf	ERR2712062	1
ERR2712065.result.fastq	leaf	ERR2712065	4
ERR2712146.result.fastq	leaf	ERR2712146	5
ERR2712189.result.fastq	leaf	ERR2712189	3
ERR2712194.result.fastq	leaf	ERR2712194	1
ERR2712199.result.fastq	leaf	ERR2712199	3
ERR2712200.result.fastq	leaf	ERR2712200	2
ERR2712201.result.fastq	leaf	ERR2712201	3
ERR2712204.result.fastq	leaf	ERR2712204	3
ERR2712209.result.fastq	leaf	ERR2712209	94
ERR2712210.result.fastq	leaf	ERR2712210	12
ERR2712230.result.fastq	leaf	ERR2712230	6
ERR2712231.result.fastq	leaf	ERR2712231	4
ERR2712232.result.fastq	leaf	ERR2712232	3
ERR2712236.result.fastq	leaf	ERR2712236	3
ERR2712238.result.fastq	leaf	ERR2712238	1
ERR2712242.result.fastq	leaf	ERR2712242	3
ERR2712243.result.fastq	leaf	ERR2712243	28
ERR2712244.result.fastq	leaf	ERR2712244	1
ERR2712246.result.fastq	leaf	ERR2712246	2
ERR2712249.result.fastq	leaf	ERR2712249	3
ERR2712251.result.fastq	leaf	ERR2712251	7
ERR2712252.result.fastq	leaf	ERR2712252	1
ERR2712253.result.fastq	leaf	ERR2712253	8
ERR2712254.result.fastq	leaf	ERR2712254	2
ERR2712271.result.fastq	leaf	ERR2712271	2
ERR2712272.result.fastq	leaf	ERR2712272	2
ERR2712273.result.fastq	leaf	ERR2712273	294
ERR2712277.result.fastq	leaf	ERR2712277	22
ERR2712281.result.fastq	leaf	ERR2712281	5
ERR2712283.result.fastq	leaf	ERR2712283	1
ERR2712288.result.fastq	leaf	ERR2712288	5
ERR2712294.result.fastq	leaf	ERR2712294	1
ERR2712295.result.fastq	leaf	ERR2712295	1
ERR2712296.result.fastq	leaf	ERR2712296	4
ERR2712298.result.fastq	leaf	ERR2712298	4
ERR2712299.result.fastq	leaf	ERR2712299	3
ERR2712300.result.fastq	leaf	ERR2712300	6
ERR2712304.result.fastq	leaf	ERR2712304	2
ERR2712307.result.fastq	leaf	ERR2712307	33
ERR2712310.result.fastq	leaf	ERR2712310	2
ERR2712313.result.fastq	leaf	ERR2712313	30
ERR2712316.result.fastq	leaf	ERR2712316	25
ERR2712319.result.fastq	leaf	ERR2712319	271
ERR2712320.result.fastq	leaf	ERR2712320	407
ERR2712323.result.fastq	leaf	ERR2712323	23
ERR2712324.result.fastq	leaf	ERR2712324	4
ERR2712329.result.fastq	leaf	ERR2712329	18
ERR2712337.result.fastq	leaf	ERR2712337	1152
ERR2712338.result.fastq	leaf	ERR2712338	9
ERR2712340.result.fastq	leaf	ERR2712340	1
ERR2712341.result.fastq	leaf	ERR2712341	11
ERR2712342.result.fastq	leaf	ERR2712342	6
ERR2712344.result.fastq	leaf	ERR2712344	21
ERR2712345.result.fastq	leaf	ERR2712345	167
ERR2712348.result.fastq	leaf	ERR2712348	8
ERR2712349.result.fastq	leaf	ERR2712349	10
ERR2712350.result.fastq	leaf	ERR2712350	8
ERR2712351.result.fastq	leaf	ERR2712351	6
ERR2712352.result.fastq	leaf	ERR2712352	8
ERR2712355.result.fastq	leaf	ERR2712355	21
ERR2712357.result.fastq	leaf	ERR2712357	1
ERR2712358.result.fastq	leaf	ERR2712358	4
ERR2712359.result.fastq	leaf	ERR2712359	3
ERR2712362.result.fastq	leaf	ERR2712362	895
ERR2712365.result.fastq	leaf	ERR2712365	7
ERR2712371.result.fastq	leaf	ERR2712371	2
ERR2712372.result.fastq	leaf	ERR2712372	2
ERR2712373.result.fastq	leaf	ERR2712373	2
ERR2712374.result.fastq	leaf	ERR2712374	4
ERR2712375.result.fastq	leaf	ERR2712375	1
ERR2712378.result.fastq	leaf	ERR2712378	3
ERR2712381.result.fastq	leaf	ERR2712381	33
ERR2712382.result.fastq	leaf	ERR2712382	99
ERR2712383.result.fastq	leaf	ERR2712383	8
ERR2712385.result.fastq	leaf	ERR2712385	19
ERR2712386.result.fastq	leaf	ERR2712386	2
ERR2712388.result.fastq	leaf	ERR2712388	20
ERR2712394.result.fastq	leaf	ERR2712394	13
ERR2712395.result.fastq	leaf	ERR2712395	2
