sequence	start	end	source_line
NC_017847.1	70337	70337	111
NC_017847.1	70365	70365	112
NC_017847.1	70368	70424	113
NC_017847.1	70426	70426	114
NC_017847.1	70430	70430	115
NC_017847.1	71909	71910	116
NC_017847.1	71923	71924	117
NC_017847.1	71945	71963	118
NC_017847.1	74577	74982	119
NC_017847.1	75640	75640	120
NC_017847.1	75665	75706	121
NC_017847.1	77245	77251	122
NC_017847.1	77264	77393	123
NC_017847.1	79497	79497	124
NC_017847.1	79508	79508	125
NC_017847.1	79525	79534	126
NC_017847.1	79536	79536	127
NC_017847.1	79542	79543	128
NC_017847.1	79783	79783	129
NC_017847.1	80581	80924	130
NC_017847.1	82306	82494	131
NC_017847.1	82546	82547	132
NC_017847.1	85972	85972	133
NC_017847.1	88044	88143	134
NC_017847.1	89514	89923	135
NC_017847.1	89925	89926	136
NC_017847.1	89928	89929	137
NC_017847.1	89932	89932	138
NC_017847.1	89940	89940	139
NC_017847.1	89944	89944	140
NC_017847.1	89948	89948	141
NC_017847.1	90132	90202	142
NC_017847.1	91619	91619	143
NC_017847.1	91634	91634	144
NC_017847.1	91648	93244	145
NC_017847.1	94863	95007	146
NC_017847.1	96754	96764	147
NC_017847.1	96766	96767	148
NC_017847.1	100100	100193	149
NC_017847.1	103094	103095	150
NC_017847.1	103582	103590	151
NC_017847.1	104291	104294	152
NC_017847.1	104322	104323	153
NC_017847.1	104325	104325	154
NC_017847.1	104327	104327	155
NC_017847.1	104329	104329	156
NC_017847.1	104645	104900	157
NC_017847.1	106093	106200	158
NC_017847.1	107460	111454	159
NC_017847.1	112442	112442	160
NC_017847.1	112444	112507	161
NC_017847.1	112509	112509	162
NC_017847.1	112511	112515	163
NC_017847.1	112517	112517	164
NC_017847.1	112520	112520	165
NC_017847.1	112522	112524	166
NC_017847.1	113141	113204	167
NC_017847.1	114827	114827	168
NC_017847.1	116597	116597	169
NC_017847.1	116632	116639	170
NC_017847.1	117329	117464	171
NC_017847.1	118180	118180	172
NC_017847.1	120845	120845	173
NC_017847.1	124049	124218	174
NC_017847.1	124225	124225	175
NC_017847.1	124471	130380	176
NC_017847.1	130382	130382	177
NC_017847.1	130539	130539	178
NC_017847.1	130595	130595	179
NC_017847.1	131098	131098	180
NC_017847.1	131101	131101	181
NC_017847.1	131106	131141	182
NC_017847.1	131143	131144	183
NC_017847.1	131151	131151	184
NC_017847.1	131158	131158	185
NC_017847.1	131160	131160	186
NC_017847.1	131162	131162	187
NC_017847.1	131164	131164	188
NC_017847.1	131169	131170	189
NC_017847.1	131173	131173	190
NC_017847.1	131332	131332	191
NC_017847.1	131458	131466	192
NC_017847.1	131489	131569	193
NC_017847.1	131622	131623	194
NC_017847.1	131625	131626	195
NC_017847.1	131630	131631	196
NC_017847.1	131633	131634	197
NC_017847.1	131636	131636	198
NC_017847.1	131638	131638	199
NC_017847.1	131643	131643	200
NC_017847.1	131661	131661	201
NC_017847.1	131665	131665	202
NC_017847.1	131676	131676	203
NC_017847.1	131679	131680	204
NC_017847.1	131683	131878	205
NC_017847.1	134254	134254	206
NC_017847.1	134293	135727	207
NC_017847.1	135730	135733	208
NC_017847.1	137007	137007	209
NC_017847.1	137013	137013	210
NC_017847.1	137017	137017	211
NC_017847.1	138587	138587	212
NC_017847.1	139456	139456	213
NC_017847.1	143352	143353	214
NC_017847.1	143396	143397	215
NC_017847.1	147218	147218	216
NC_017847.1	147226	147226	217
NC_017847.1	147230	147230	218
NC_017847.1	147235	147235	219
NC_017847.1	147417	147424	220
NC_017847.1	147437	147438	221
NC_017847.1	147932	147983	222
NC_017847.1	148936	148936	223
NC_017847.1	148938	148939	224
NC_017847.1	148941	148942	225
NC_017847.1	148944	148947	226
NC_017847.1	149550	149551	227
NC_017847.1	149998	150056	228
NC_017847.1	151835	151845	229
NC_017847.1	151847	151847	230
NC_017847.1	151856	151856	231
NC_017847.1	151858	151900	232
NC_017847.1	151923	151925	233
NC_017847.1	152122	152144	234
NC_017847.1	153083	153083	235
NC_017847.1	154099	154384	236
NC_017847.1	154572	154674	237
NC_017847.1	165347	165347	238
NC_017847.1	165349	165361	239
NC_017847.1	165365	165365	240
NC_017847.1	165371	165371	241
NC_017847.1	165472	165473	242
NC_017847.1	168610	168611	243
NC_017847.1	169208	169262	244
NC_017847.1	171538	171541	245
NC_017847.1	171544	171544	246
NC_017847.1	171546	171590	247
NC_017847.1	171592	171592	248
NC_017847.1	171665	174048	249
NC_017847.1	174219	174227	250
NC_017847.1	174474	174513	251
NC_017847.1	174925	175175	252
NC_017847.1	175177	175180	253
NC_017847.1	178547	178547	254
NC_017847.1	181874	181874	255
NC_017847.1	182772	182894	256
NC_017847.1	184231	184296	257
NC_017847.1	185876	185877	258
NC_017847.1	186435	186435	259
NC_017847.1	188685	188693	260
NC_017847.1	189612	189677	261
NC_017847.1	189679	189680	262
NC_017847.1	189682	189682	263
NC_017847.1	189684	189684	264
NC_017847.1	192228	192228	265
NC_017847.1	192903	192904	266
NC_017847.1	192922	194249	267
NC_017847.1	195450	195451	268
NC_017847.1	196242	196242	269
NC_017847.1	196308	196506	270
NC_017847.1	197228	197247	271
NC_017847.1	197251	197252	272
NC_017847.1	197255	197255	273
NC_017847.1	198132	198151	274
NC_017847.1	198153	198154	275
NC_017847.1	198156	198256	276
NC_017847.1	198431	198432	277
NC_017847.1	198836	198836	278
NC_017847.1	204272	204272	279
NC_017847.1	204285	204286	280
NC_017847.1	204294	204294	281
NC_017847.1	204296	204296	282
NC_017847.1	204306	204311	283
NC_017847.1	204322	204326	284
NC_017847.1	204328	204338	285
NC_017847.1	204809	204809	286
NC_017847.1	205059	205059	287
NC_017847.1	205074	205102	288
NC_017847.1	206584	206584	289
NC_017847.1	206787	206787	290
NC_017847.1	207202	207239	291
NC_017847.1	207244	207244	292
NC_017847.1	207273	207924	293
NC_017847.1	207996	207997	294
NC_017847.1	208000	208001	295
NC_017847.1	208004	208004	296
NC_017847.1	208201	208201	297
NC_017847.1	208203	208843	298
NC_017847.1	208845	208845	299
NC_017847.1	208847	208848	300
NC_017847.1	208981	208987	301
NC_017847.1	209069	209077	302
NC_017847.1	209210	209210	303
NC_017847.1	209212	209212	304
NC_017847.1	209216	209216	305
NC_017847.1	209219	209219	306
NC_017847.1	209221	209221	307
NC_017847.1	209229	209229	308
NC_017847.1	209231	209231	309
NC_017847.1	209234	209234	310
NC_017847.1	209242	209242	311
NC_017847.1	209247	209247	312
NC_017847.1	209252	209252	313
NC_017847.1	209255	209255	314
NC_017847.1	209356	209356	315
NC_017847.1	209361	209362	316
NC_017847.1	209364	209364	317
NC_017847.1	209406	209415	318
NC_017847.1	209419	209419	319
NC_017847.1	209422	209445	320
NC_017847.1	209905	209905	321
NC_017847.1	210688	210696	322
NC_017847.1	210830	212585	323
NC_017847.1	217333	217341	324
NC_017847.1	217355	217356	325
NC_017847.1	217540	217540	326
NC_017847.1	217543	217543	327
NC_017847.1	218812	218812	328
NC_017847.1	218814	218976	329
NC_017847.1	222329	222329	330
NC_017847.1	225695	225816	331
NC_017847.1	226941	227016	332
NC_017847.1	227417	227417	333
NC_017847.1	230263	230263	334
NC_017847.1	230294	230294	335
NC_017847.1	231924	231924	336
NC_017847.1	232626	232627	337
NC_017847.1	233249	233249	338
NC_017847.1	233254	233254	339
NC_017847.1	233256	233475	340
NC_017847.1	233706	233715	341
NC_017847.1	233798	233805	342
NC_017847.1	233925	233933	343
NC_017847.1	234774	234775	344
NC_017847.1	235010	235011	345
NC_017847.1	235014	235015	346
NC_017847.1	235018	235020	347
NC_017847.1	235127	235127	348
NC_017847.1	235132	235132	349
NC_017847.1	235134	235143	350
NC_017847.1	235145	235145	351
NC_017847.1	235174	235174	352
NC_017847.1	235211	235218	353
NC_017847.1	235402	235403	354
NC_017847.1	235405	235413	355
NC_017847.1	236212	236440	356
NC_017847.1	236616	236660	357
NC_017847.1	236663	236664	358
NC_017847.1	236684	236684	359
NC_017847.1	236697	236698	360
NC_017847.1	236716	236793	361
NC_017847.1	236812	236812	362
NC_017847.1	236820	236820	363
NC_017847.1	236828	236828	364
NC_017847.1	236830	236870	365
NC_017847.1	239200	239200	366
NC_017847.1	239654	239654	367
NC_017847.1	239672	239672	368
NC_017847.1	240081	240354	369
NC_017847.1	240356	240356	370
NC_017847.1	240358	240359	371
NC_017847.1	240842	240842	372
NC_017847.1	240847	240848	373
NC_017847.1	241073	241074	374
NC_017847.1	241076	241187	375
NC_017847.1	241521	241521	376
NC_017847.1	241526	241527	377
NC_017847.1	241529	241535	378
NC_017847.1	243089	243157	379
NC_017847.1	243160	243160	380
NC_017847.1	243162	243198	381
NC_017847.1	243201	243203	382
NC_017847.1	243205	243205	383
NC_017847.1	243225	243226	384
NC_017847.1	243229	243231	385
NC_017847.1	243234	243235	386
NC_017847.1	243237	243238	387
NC_017847.1	243243	243243	388
NC_017847.1	243247	243255	389
NC_017847.1	243263	243267	390
NC_017847.1	243269	243307	391
NC_017847.1	243330	243330	392
NC_017847.1	243343	243345	393
NC_017847.1	243348	243348	394
NC_017847.1	243361	243362	395
NC_017847.1	243372	243374	396
NC_017847.1	243377	243380	397
NC_017847.1	243382	243382	398
NC_017847.1	243387	243387	399
NC_017847.1	243390	243391	400
NC_017847.1	243393	243423	401
NC_017847.1	243433	243433	402
NC_017847.1	243435	243436	403
NC_017847.1	243438	244441	404
NC_017847.1	244465	244466	405
NC_017847.1	244468	244469	406
NC_017847.1	244572	244572	407
NC_017847.1	244582	244582	408
NC_017847.1	244584	244584	409
NC_017847.1	244586	248170	410
NC_017847.1	248173	248173	411
NC_017847.1	248181	248189	412
NC_017847.1	248338	248338	413
NC_017847.1	248347	248348	414
NC_017847.1	248359	248367	415
NC_017847.1	248370	248370	416
NC_017847.1	248372	248375	417
NC_017847.1	248387	248387	418
NC_017847.1	248389	248390	419
NC_017847.1	248395	248395	420
NC_017847.1	248412	248414	421
NC_017847.1	248442	248443	422
NC_017847.1	248506	251512	423
NC_017847.1	252201	252201	424
NC_017847.1	253629	253629	425
NC_017847.1	255449	255450	426
NC_017847.1	256423	256626	427
NC_017847.1	257317	257317	428
NC_017847.1	257319	257319	429
NC_017847.1	257322	257324	430
NC_017847.1	257327	257329	431
NC_017847.1	258510	258518	432
NC_017847.1	261402	261477	433
NC_017847.1	261773	261781	434
NC_017847.1	262107	262108	435
NC_017847.1	262114	262424	436
NC_017847.1	262450	262451	437
NC_017847.1	264048	264049	438
NC_017847.1	264052	264053	439
NC_017847.1	264069	264069	440
NC_017847.1	266134	266166	441
NC_017847.1	266185	266185	442
NC_017847.1	266189	266290	443
NC_017847.1	268131	268412	444
NC_017847.1	268415	268415	445
NC_017847.1	268431	268770	446
NC_017847.1	270752	270806	447
NC_017847.1	270926	270926	448
NC_017847.1	273252	273252	449
NC_017847.1	273254	273586	450
NC_017847.1	275947	276007	451
NC_017847.1	276347	276397	452
NC_017847.1	276519	276573	453
NC_017847.1	278598	278599	454
NC_017847.1	279654	279778	455
NC_017847.1	281144	281221	456
NC_017847.1	281344	281344	457
NC_017847.1	283086	283812	458
NC_017847.1	283815	283815	459
NC_017847.1	283817	283817	460
NC_017847.1	284096	284329	461
NC_017847.1	284332	284336	462
NC_017847.1	284339	284341	463
NC_017847.1	284345	284353	464
NC_017847.1	284356	284359	465
NC_017847.1	284513	284513	466
NC_017847.1	284518	284553	467
NC_017847.1	285085	292464	468
NC_017847.1	294177	294177	469
NC_017847.1	294186	294234	470
NC_017847.1	295403	296825	471
NC_017847.1	298161	298161	472
NC_017847.1	298251	298251	473
NC_017847.1	298274	298349	474
NC_017847.1	300511	300539	475
NC_017847.1	300541	300855	476
NC_017847.1	301849	301942	477
NC_017847.1	301949	301949	478
NC_017847.1	301953	301954	479
NC_017847.1	301956	301956	480
NC_017847.1	301958	301962	481
NC_017847.1	301971	301971	482
NC_017847.1	304439	304440	483
NC_017847.1	305313	305314	484
NC_017847.1	313103	313104	485
NC_017847.1	313569	313570	486
NC_017847.1	315827	315827	487
NC_017847.1	316153	316157	488
NC_017847.1	317201	317203	489
NC_017847.1	321021	321077	490
NC_017847.1	327360	327361	491
NC_017847.1	327410	327410	492
NC_017847.1	327851	327859	493
NC_017847.1	328428	328468	494
NC_017847.1	330138	330229	495
NC_017847.1	330788	334040	496
NC_017847.1	334674	334678	497
NC_017847.1	334704	334705	498
NC_017847.1	335395	335395	499
NC_017847.1	335397	335433	500
NC_017847.1	335626	335848	501
NC_017847.1	335857	335857	502
NC_017847.1	336277	336285	503
NC_017847.1	338496	338496	504
NC_017847.1	338499	338642	505
NC_017847.1	338645	338646	506
NC_017847.1	338652	338652	507
NC_017847.1	340724	340724	508
NC_017847.1	340727	340884	509
NC_017847.1	340886	340886	510
NC_017847.1	340888	340892	511
NC_017847.1	340894	340895	512
NC_017847.1	345266	345335	513
NC_017847.1	345691	345717	514
NC_017847.1	347303	347631	515
NC_017847.1	347879	348187	516
NC_017847.1	350318	350318	517
NC_017847.1	350864	350864	518
NC_017847.1	351693	351693	519
NC_017847.1	351697	351697	520
NC_017847.1	352839	352841	521
NC_017847.1	354163	354286	522
NC_017847.1	354834	354835	523
NC_017847.1	354848	354848	524
NC_017847.1	354869	355050	525
NC_017847.1	356378	356378	526
NC_017847.1	358943	358944	527
NC_017847.1	360442	360443	528
NC_017847.1	360935	360935	529
NC_017847.1	361925	361978	530
NC_017847.1	361981	361981	531
NC_017847.1	364054	364107	532
NC_017847.1	365228	365263	533
NC_017847.1	365265	365267	534
NC_017847.1	365763	365768	535
NC_017847.1	365920	365921	536
NC_017847.1	365923	365923	537
NC_017847.1	365931	365932	538
NC_017847.1	365936	365988	539
NC_017847.1	365990	365991	540
NC_017847.1	366177	366427	541
NC_017847.1	366430	366430	542
NC_017847.1	373087	373573	543
NC_017847.1	375003	375003	544
NC_017847.1	375005	375886	545
NC_017847.1	377374	377376	546
NC_017847.1	377378	377379	547
NC_017847.1	377465	377465	548
NC_017847.1	377468	378334	549
NC_017847.1	378640	378640	550
NC_017847.1	380461	380468	551
NC_017847.1	380471	380472	552
NC_017847.1	380806	380806	553
NC_017847.1	383525	383525	554
NC_017847.1	383529	383529	555
NC_017847.1	383535	383550	556
NC_017847.1	383552	383552	557
NC_017847.1	383568	383569	558
NC_017847.1	383741	383912	559
NC_017847.1	383933	384079	560
NC_017847.1	384479	384606	561
NC_017847.1	384608	384610	562
NC_017847.1	384612	384619	563
NC_017847.1	384638	384639	564
NC_017847.1	384641	384641	565
NC_017847.1	384644	384645	566
NC_017847.1	384648	384651	567
NC_017847.1	384680	384681	568
NC_017847.1	384683	384684	569
NC_017847.1	384698	384699	570
NC_017847.1	384701	384902	571
NC_017847.1	386636	386668	572
NC_017847.1	386671	386671	573
NC_017847.1	386677	386685	574
NC_017847.1	386706	386707	575
NC_017847.1	386716	386716	576
NC_017847.1	387767	387835	577
NC_017847.1	388523	388634	578
NC_017847.1	388957	390095	579
NC_017847.1	393167	394110	580
NC_017847.1	396230	396261	581
NC_017847.1	397821	397822	582
NC_017847.1	397860	397861	583
NC_017847.1	398392	398400	584
NC_017847.1	398593	398594	585
NC_017847.1	398597	398637	586
NC_017847.1	398639	398639	587
NC_017847.1	398754	398754	588
NC_017847.1	400779	400874	589
NC_017847.1	401313	401313	590
NC_017847.1	401326	401326	591
NC_017847.1	401328	401331	592
NC_017847.1	401333	401334	593
NC_017847.1	401338	401357	594
NC_017847.1	401359	401505	595
NC_017847.1	401507	401513	596
NC_017847.1	403166	403174	597
NC_017847.1	405169	405266	598
NC_017847.1	405481	405481	599
NC_017847.1	405487	405487	600
NC_017847.1	408921	408983	601
NC_017847.1	410643	410644	602
NC_017847.1	410687	411178	603
NC_017847.1	411280	411313	604
NC_017847.1	412090	413142	605
NC_017847.1	416061	416061	606
NC_017847.1	420596	420604	607
NC_017847.1	421180	421180	608
NC_017847.1	424208	424209	609
NC_017847.1	424372	424372	610
NC_017847.1	424374	424374	611
NC_017847.1	424376	424454	612
NC_017847.1	424459	424459	613
NC_017847.1	424461	424462	614
NC_017847.1	430154	430286	615
NC_017847.1	440034	440090	616
NC_017847.1	447752	447913	617
NC_017847.1	449463	449464	618
NC_017847.1	450749	450749	619
NC_017847.1	450777	450777	620
NC_017847.1	451094	451094	621
NC_017847.1	451127	451127	622
NC_017847.1	451244	451252	623
NC_017847.1	451254	451256	624
NC_017847.1	451258	451258	625
NC_017847.1	451260	451261	626
NC_017847.1	451263	451266	627
NC_017847.1	451272	451272	628
NC_017847.1	451274	451275	629
NC_017847.1	451281	451592	630
NC_017847.1	451751	451751	631
NC_017847.1	451753	451753	632
NC_017847.1	456373	456376	633
NC_017847.1	456379	456379	634
NC_017847.1	456414	456468	635
NC_017847.1	456496	456496	636
NC_017847.1	461953	461955	637
NC_017847.1	461964	461964	638
NC_017847.1	461968	461968	639
NC_017847.1	461975	462029	640
NC_017847.1	462183	466401	641
NC_017847.1	466982	466982	642
NC_017847.1	467002	467002	643
NC_017847.1	467010	467010	644
NC_017847.1	467015	467015	645
NC_017847.1	467132	467279	646
NC_017847.1	468475	468585	647
NC_017847.1	470272	470332	648
NC_017847.1	472554	472555	649
NC_017847.1	472560	472560	650
NC_017847.1	472562	472595	651
NC_017847.1	474840	474960	652
NC_017847.1	475024	475025	653
NC_017847.1	483246	483247	654
NC_017847.1	483680	483688	655
NC_017847.1	486680	486681	656
NC_017847.1	487775	494586	657
NC_017847.1	499518	499892	658
NC_017847.1	502578	502580	659
NC_017847.1	504929	505227	660
NC_017847.1	505396	505396	661
NC_017847.1	505400	505460	662
NC_017847.1	511055	511061	663
NC_017847.1	511067	511069	664
NC_017847.1	511360	511361	665
NC_017847.1	517794	517862	666
NC_017847.1	517864	517870	667
NC_017847.1	517874	517874	668
NC_017847.1	518073	518103	669
NC_017847.1	518363	518371	670
NC_017847.1	518742	518809	671
NC_017847.1	518940	518948	672
NC_017847.1	519672	519719	673
NC_017847.1	519723	519723	674
NC_017847.1	519865	519866	675
NC_017847.1	519868	519873	676
NC_017847.1	519875	519876	677
NC_017847.1	520060	526107	678
NC_017847.1	526140	526141	679
NC_017847.1	526685	526706	680
NC_017847.1	526784	526785	681
NC_017847.1	526788	526800	682
NC_017847.1	527075	527085	683
NC_017847.1	527430	529451	684
NC_017847.1	531728	531768	685
NC_017847.1	531772	531777	686
NC_017847.1	531779	531779	687
NC_017847.1	531782	531782	688
NC_017847.1	532667	532667	689
NC_017847.1	532675	532675	690
NC_017847.1	533243	533244	691
NC_017847.1	540570	540571	692
NC_017847.1	540583	540586	693
NC_017847.1	540594	540595	694
NC_017847.1	545178	545179	695
NC_017847.1	545253	545260	696
NC_017847.1	545268	545269	697
NC_017847.1	545542	545543	698
NC_017847.1	545545	545546	699
NC_017847.1	545717	545816	700
NC_017847.1	545900	545901	701
NC_017847.1	545906	545908	702
NC_017847.1	547010	547092	703
NC_017847.1	548160	548160	704
NC_017847.1	548411	552959	705
NC_017847.1	552961	552961	706
NC_017847.1	559033	566856	707
NC_017847.1	568705	568706	708
NC_017847.1	569039	569047	709
NC_017847.1	570263	570617	710
NC_017847.1	573337	573527	711
NC_017847.1	574221	574277	712
NC_017847.1	574510	574510	713
NC_017847.1	575031	576963	714
NC_017847.1	576966	576966	715
NC_017847.1	588427	590629	716
NC_017847.1	591251	591252	717
NC_017847.1	591258	591259	718
NC_017847.1	593968	594334	719
NC_017847.1	600319	600630	720
NC_017847.1	602394	602394	721
NC_017847.1	603241	603242	722
NC_017847.1	603244	603247	723
NC_017847.1	603250	603350	724
NC_017847.1	606361	606362	725
NC_017847.1	606930	606931	726
NC_017847.1	606956	606958	727
NC_017847.1	606974	606998	728
NC_017847.1	609062	609062	729
NC_017847.1	609064	609064	730
NC_017847.1	609067	609143	731
NC_017847.1	609438	609439	732
NC_017847.1	609502	609503	733
NC_017847.1	609524	609532	734
NC_017847.1	610248	610248	735
NC_017847.1	610263	610263	736
NC_017847.1	611310	611439	737
NC_017847.1	612086	612125	738
NC_017847.1	615538	615538	739
NC_017847.1	615565	615565	740
NC_017847.1	616080	616195	741
NC_017847.1	618050	618051	742
NC_017847.1	618074	618127	743
NC_017847.1	618249	618251	744
NC_017847.1	624321	624368	745
NC_017847.1	625292	625300	746
NC_017847.1	627123	627388	747
NC_017847.1	627390	627391	748
NC_017847.1	627453	627454	749
NC_017847.1	627775	627957	750
NC_017847.1	628637	628638	751
NC_017847.1	628644	628644	752
NC_017847.1	628695	628696	753
NC_017847.1	628711	628715	754
NC_017847.1	630256	630256	755
NC_017847.1	630319	630320	756
NC_017847.1	636294	636294	757
NC_017847.1	636307	636307	758
NC_017847.1	636338	636339	759
NC_017847.1	636356	636456	760
NC_017847.1	637112	637113	761
NC_017847.1	640072	644268	762
NC_017847.1	646617	646617	763
NC_017847.1	646619	646714	764
NC_017847.1	647557	647596	765
NC_017847.1	647614	647622	766
NC_017847.1	648110	648210	767
NC_017847.1	648212	648217	768
NC_017847.1	648220	648220	769
NC_017847.1	648521	648526	770
NC_017847.1	648528	649146	771
NC_017847.1	649602	649602	772
NC_017847.1	649627	649627	773
NC_017847.1	655847	655855	774
NC_017847.1	656328	656612	775
NC_017847.1	665221	665322	776
NC_017847.1	666655	666655	777
NC_017847.1	666657	666663	778
NC_017847.1	666670	666792	779
NC_017847.1	668167	668168	780
NC_017847.1	668203	668204	781
NC_017847.1	668206	668206	782
NC_017847.1	668759	669772	783
NC_017847.1	669774	669774	784
NC_017847.1	670335	670370	785
NC_017847.1	670380	670380	786
NC_017847.1	670383	670383	787
NC_017847.1	670385	670386	788
NC_017847.1	670388	670390	789
NC_017847.1	673362	673410	790
NC_017847.1	678413	678746	791
NC_017847.1	678748	678748	792
NC_017847.1	680929	681075	793
NC_017847.1	684944	684999	794
NC_017847.1	685016	685016	795
NC_017847.1	685338	685615	796
NC_017847.1	685617	685618	797
NC_017847.1	685621	685621	798
NC_017847.1	685627	685627	799
NC_017847.1	685629	685630	800
NC_017847.1	685632	685633	801
NC_017847.1	685635	685637	802
NC_017847.1	685645	685646	803
NC_017847.1	685650	685650	804
NC_017847.1	685656	685669	805
NC_017847.1	685671	685943	806
NC_017847.1	685946	685949	807
NC_017847.1	686194	686194	808
NC_017847.1	686196	686198	809
NC_017847.1	686202	686202	810
NC_017847.1	687560	687568	811
NC_017847.1	688244	689884	812
NC_017847.1	699694	699694	813
NC_017847.1	701308	701340	814
NC_017847.1	701342	701343	815
NC_017847.1	701684	702639	816
NC_017847.1	702997	703368	817
NC_017847.1	706390	706509	818
NC_017847.1	706512	706512	819
NC_017847.1	706514	706514	820
NC_017847.1	707319	707428	821
NC_017847.1	708483	708484	822
NC_017847.1	708521	708576	823
NC_017847.1	710603	710620	824
NC_017847.1	710623	710628	825
NC_017847.1	710632	710632	826
NC_017847.1	710635	710651	827
NC_017847.1	710681	710682	828
NC_017847.1	710684	710685	829
NC_017847.1	711648	711674	830
NC_017847.1	712288	712288	831
NC_017847.1	713195	713195	832
NC_017847.1	713197	713199	833
NC_017847.1	713202	713202	834
NC_017847.1	713207	713352	835
NC_017847.1	716228	716228	836
NC_017847.1	716258	716259	837
NC_017847.1	719345	719353	838
NC_017847.1	720686	720694	839
NC_017847.1	720697	721020	840
NC_017847.1	721420	721483	841
NC_017847.1	721918	722295	842
NC_017847.1	722328	722337	843
NC_017847.1	722399	722403	844
NC_017847.1	722408	722408	845
NC_017847.1	722418	722419	846
NC_017847.1	722438	722438	847
NC_017847.1	722453	722453	848
NC_017847.1	722455	722455	849
NC_017847.1	722459	722473	850
NC_017847.1	722475	722475	851
NC_017847.1	722477	724618	852
NC_017847.1	724621	724621	853
NC_017847.1	724623	724625	854
NC_017847.1	724640	724640	855
NC_017847.1	724708	724728	856
NC_017847.1	724732	724732	857
NC_017847.1	724734	724817	858
NC_017847.1	724819	724820	859
NC_017847.1	724825	725045	860
NC_017847.1	725047	725071	861
NC_017847.1	725074	725093	862
NC_017847.1	725096	725102	863
NC_017847.1	725123	725155	864
NC_017847.1	725157	725202	865
NC_017847.1	725524	725537	866
NC_017847.1	725539	725550	867
NC_017847.1	725552	725552	868
NC_017847.1	725561	725614	869
NC_017847.1	725629	725629	870
NC_017847.1	725635	725635	871
NC_017847.1	725643	725651	872
NC_017847.1	726082	726087	873
NC_017847.1	726093	726184	874
NC_017847.1	726897	726898	875
NC_017847.1	726904	726904	876
